,target,text
3356,0,【《李雷和韩梅梅》已备案公示 将拍成电视剧】说起李雷和韩梅梅这两个英语教材中的人物，一位80后表示：“他们永远活在我们心中。”此前有关于二人的歌曲和话剧都颇受网友欢迎，而新版的英语教材中，李雷和韩梅梅没能够在一起也引发80后集体惋惜……剧版会满足大家的猜想吗？[思考] 新娱
349,0,#李敏镐# 李敏镐雪山拍广告 堆雪人打雪仗天真惹人爱 搜狐韩娱讯 正在出演热播剧《继承者们》的李敏镐携手某户外品牌日前在新西兰拍摄一则冬装广告。公开的现场照中，李敏镐时而靠在亲自堆起的雪人旁，时而打雪仗、滑雪橇等展现出孩子般天真烂漫的可爱模样。http://t.cn/zR50piu
2038,0,【退休工作犬，你愿意收养吗？】近几年来，上海有一批工作犬面临退休，离开工作岗位。这些在机场、地铁站、体育场、高级写字楼……时常可以看见的矫健身影因为各种原因退休后，谁来难解除它们内心的孤寂？你愿不愿意，带它们回家，照顾它们安度晚年？详见本周《申》报B16版 记者@aflycanfly
285,0,【马拉多纳抵京将会面韦迪 表态愿意执教中国球队】http://t.cn/zWY7RHH 阿根廷传奇球星迭戈-马拉多纳今日抵达北京，举行了一次简短的新闻发布会。据悉，马拉多纳此行将与中国足协副主席韦迪会面，商谈有关青少年足球发展相关问题。马拉多纳表示，自己愿意来中国执教一支球队，但并未透露更多的内容。
2997,1,【Wi-Fi杀精于无形 精子DNA受损严重】科学研究：从健康男子收集精液样本，把其放在接收Wi-Fi上网的计算机旁4小时后发现，精液竟然「熟」了 部分更出现DNA受损的情况。无线上网期间散发的电磁辐射正是「杀精」的元凶！ 男士们注意了…珍爱生命，远离Wi-Fi！
2438,0,最好的感觉是，当我朝你看过去时，你已经在凝视着我。。。 【晚安，摩羯座】
1291,1,"摸奶节是云南双柏县鄂家镇彝族传统文化就是农历的7月14日、15日-16日三天，包括外来游人,如果在街上遇见喜欢的女子，都可以摸一摸女子的胸。姑娘们表面躲躲闪闪，但决无责怪之意因为这是他们这个地区的百姓延续了1000多年风俗。小伙以摸到奶为吉祥，姑娘以被摸奶为幸运和祝福!"
818,0,【你愿意掏钱赈助日本吗？】你我这几年为国内的灾区捐了不少。刚看到，CNN呼吁观众向红十字捐款，援助日本。那么，如果我们的慈善组织向你募捐，赈助日本。你愿意解囊吗？为什么不？为什么要？
2137,1,【唉，你让我说什么好】雷锋生前战友、曾为雷锋拍摄200多张照片的沈阳军区原工程兵政治部宣传助理员张峻 3月5日下午在沈阳军区学雷锋座谈会上发言将结束时说：”向老毛保证，今天讲的一切都是真实的。要有半句假话，立刻就死。”结果张峻一语成谶，当场心脏病发去世。
2803,0,人生三大遗憾：不会选择；不坚持选择；不断地选择。 {图文 转录}
1229,0,淘米IPO：公司管理团队敲响周五的开市钟声，庆祝公司上市。
2684,0,【顺子与男友交往两月结婚】据台媒消息，因一首《回家》走红的的39岁歌手顺子上月14日在与美籍男友Jaime注册结婚，昨天她证实：“他像我的亲人、情人、好友，疼我、宠我，是能保护我的男人，交往第1天就认定是他！”据悉，2人交往不到2个月。幸福全文：http://t.cn/zlT3RML 祝福顺子！永远幸福[心]
1244,1,【袖珍小猴走红网络，高智慧宠物“不好养”】昨天，一只宠物猴的照片风靡网络。据了解，这种猴名为“石猴”，系国家唯一允许个人饲养的宠物猴，但必须在合法商贩处购买。但石猴并不易养，有网友表示：石猴性格太过活泼，“很皮，模仿力很高，有的时候会自己打开煤气阀门，拿着打火机玩，很危险！”
2624,0,【北京第一家麦当当！】1992年4月第一家麦当劳快餐厅在王府井大街南口开业。这是当时在麦当劳系统开设的最大的一家餐厅，拥有超过700个座位和29台收银机。[馋嘴]你还记得小时候第一次吃麦当当的回忆吗~
1633,1,#微天下#【有图有真相！今年3.15又有17种“问题食品”曝光】兰州拉面，砂锅粥‘加料’致癌，来伊份，立顿茶，太子了奶粉，星巴克冰乐，东北饺子参老鼠肉，蛋黄派和榴莲酥，统一奶茶，蛇果上蜡，可乐，费列巧克力有‘活蛀虫’，乳鸽，人造鸡蛋，绝育黄瓜，果粒橙！这是在服毒吗？http://t.cn/zY3nue5
623,1,感动，地震发生期间一位警察救起了一只压在木板下的一只大熊猫当警察准备离开时熊猫死死地抱住警察叔叔的腿。如果你感动了，请转发一下把。地震无情人有情，为雅安祈福。
1984,0,【23:59】若此生，得不到，护不了，那吾宁愿百年孤独。（晚安，好梦）
2418,0,比赛结束，感谢王大雷，感谢德罗巴，感谢阿内尔卡，感谢申花的每个人，在少一人的情况下能这样打平对手，也可以满意了。这也是鲁沪间的一场经典对决。
2466,0,超正！[爱你]【GEM邓紫棋+陈奕迅 合唱《爱的呼唤》&《k歌之王》】[心] 主和音很分明，很正 特别到了2min处，真系好好听！[心] http://t.cn/zj5XraZ 钟意嘅转~[给劲] 【微信 搜索abolove520 关注@大力做大力愛】
1949,0,【科摩.智能堂】@黄焱 了解了智能手机的定义，来看看智能手机最基本的特点吧：1具备无线接入互联网的能力2具有PDA的功能3具有开放性的操作系统4人性化，可以根据个人需要扩展机器功能5功能强大，扩展性强 童鞋们如果还需要了解手机方面的知识，可关注@黄焱 他会给大家做出更多更深入的讲解哦！
2665,1,【网曝：北京城管暴力执法】@赖小特特：今天终于亲眼见到了城管暴力执法，真是往死里打啊！一群年轻力壮的城管围殴一个板车小贩，而且下死手，根本不管是不是要害。图中人已经被按在车上了，后脑、脊柱等致命部位暴露无遗。如果不是围观群众上来解围恐怕非死即残。山东那哥们必然也是这么被打残废的。
389,1,老师一路走好[流泪][流泪]。 北京时间3月12日消息，在83版《西游记》中扮演孙悟空的演员六小龄童（章金莱），3月12日早上八点半病逝于浙江绍兴慈济医院，享年53岁。如果他给你的童年带去了无数欢乐，如果你觉得他是无可超越的经典，请默默的转发，让更多人祝愿猴哥·一路走好！猴哥走好
143,1,官员正襟危坐居于首席不苟言笑，几个文化界的名人在那里谈笑风声，中间必然会有几个女明星女模特或者影视院校的美女大学生在那娇小陪酒，最后还会有几个在下面谄笑的商人等着最后结账。而老板们的吃请，既能和富商巨贾拉拉关系，又省的被网民围堵指责“三公”消费，还能摆摆官威，何乐不为。
9,0,【北京几个闲翻书的好角落】1、雨枫书馆：女性的悦读空间；2、读易洞：最幽雅的免费悦读书房； 3、墨盒子绘本书馆：不想长大的童话世界；4、时尚廊：艺术图书的全球据点；5、龙之媒：广告创意的最新发现； 6、金融街社区图书馆：白领的最新扎堆儿地。亲们，找个时间咱们去做书男书女吧！ 
2435,0,忽然想起了一部禁片，「颐和园」，翻出来又看了一遍，这才是真正的致青春。
1981,1,【实用贴】误删资料，该怎么恢复？一不小心，删错了，还把回收站清空了，怎么办？只要三步，你就能找回你删掉并清空回收站的东西。这个超级实用，值得收藏~
424,1,【删错文件，并且回收站也清空，如何找回！】 一不小心，删错了，还把回收站清空了，咋办啊？ 只要三步，你就能找回你删掉并清空回收站的东西！！！这个要留着哦！[good] 
1451,0,"＂有时最坚强的人是 - 不因缺陷而不爱，关起门才哭泣，和打没有人知道的仗。＂(Sometimes the strongest people are the one love beyond all faults, cry behind closed doors and fight battles that nobody knows about。)"
2109,1, @华夏反腐联盟: 陕西永寿刘爱玲的惨死，震动了整个永寿。刘爱玲何故死得如此凄惨？原因是她家被当地政府强拆，父亲因此上访却被打残关进黑监狱！最后她不得已上西安上访，但在上访路上，她竟被政府工作人员抓回永寿县，最后被永寿县司法局长杨志斌和手下人轮流强奸，痛苦绝望之余跳楼自杀，留下了一幅
406,0,其实我到现在对壹基金也没太多不满，而且壹基金救援联盟里的事我还少少参与过，里面好多救援专家，相当牛逼。只是因为牛根生在里面做理事我才不敢信壹基金了。谁有能力把牛根生弄红会去好不好？这样大家相得益彰是不是啊？求大神。
812,0,在山东生活了二十二年，从来没见过活的蟑螂，过几天要去南方玩一段时间，兴奋，终于能见到传说中活的、大的、黑的、还会飞啊飞的蟑螂了。希望我能给山东老乡们争口气，临危不惧，放声大嚎，齐鲁儿女多奇志，不爱红妆我爱武装！！！操，到底吓不吓人啊呜呜呜呜呜……
1925,0,看到有新闻说一姑娘特爱《甄嬛传》，被猥琐男以他家可以看到大结局为由，骗去强奸之。然后警方出来呼吁，迷恋电视剧有危险！我想说，对于脑残而言，你给他看牛逼英剧《黑镜子》，说不定他就跑去操一头猪了。重点不是看什么节目，而是什么人在看。同样是《动物世界》，有些人看硬了，有些人看饿了。
1755,1,最新消息，庐山大部分老房子已经坍塌，已有伤亡，成都双流机场一度关闭，为了缓解交通，没紧急事不要前往雅安。四川雅安庐山县地区非紧急情况请尽量少使用移动电话，保证紧急通讯通畅。求扩散！[话筒] [蜡烛] 
844,0,［国际法］红色高棉在1975年至1979年当政时期被指实行血腥统治，导致近200万人死亡。时任人大委员长农谢、国家主席乔森潘、外交部长英萨利及其妻子社会事务部长英蒂迪4人被指控犯有灭绝种族罪、危害人类罪、严重违反《日内瓦公约》的罪行以及违反1956年柬埔寨刑法的谋杀、酷刑和宗教迫害等罪行。
1854,0,这是全世界文科生的榜样啊。！！我的世界观崩塌得一塌糊涂。。。「via 人人爱重庆」
1581,0,【19日晨天宇将上演双星伴月】3月19日凌晨，月亮将不再孤单，室女座最亮恒星“角宿一”及火星将同月亮一起出现在夜空中。到时候，月亮可能会平添一对亮亮的眼睛，只要天气晴朗，就能凭肉眼看见。手机、相机还有一颗期待的心，准备好了吗？千万别错过！http://t.cn/8sLm6n9
1954,0,【处女座的五大缺点，你有吗？】No.1、胆子太小害怕恋爱；No.2、杞人忧天胡思乱想；No.3、唯唯诺诺没有自信；No.4、喜欢吃醋容易嫉妒；No.5、情绪化又容易歇斯底里
991,0,【烈日下，他们在用生命清扫我们的城市[蜡烛]】9日，湖南湘潭市环卫工人贺桂华工作时突感不适，等到120赶到时，她已死亡。经诊断，这位家庭贫困的环卫工，因中暑而死。而在半个多月前，长沙一位环卫工人，也因中暑丧生。据悉，贺桂华月薪1050元，环卫所不提供饮用水。http://t.cn/zQLvLa1 新华网
1893,0,今天有粉絲跳青春鬥 還要是阿祥在娛百教丞琳的那個版本[偷笑][偷笑][偷笑][偷笑]他應該是SIR吧[偷笑][偷笑]
2779,0,要考试了，其他的孩子考试前拜考神，但是红蓝必拜玛奇朵！！！一个数学拿过总统奖，一个不上课期末能第一！！！无比牛逼的学神CP玛奇朵！！送给首页所有要考试的小伙伴！！！大家加油！！拜玛奇朵，不挂科！！！
1336,0,#星娱星乐#其实，有时候腿长腿短，只是拍照后给人的感官错觉而已。#晒长腿大赛#
3077,0,【外媒称人口过多让北上广与幸福城市无缘】法国《欧洲时报》刊文称，有关北京、上海、广州这些城市，众所周知的现实是，交通拥挤、房价高企、环境污染、民众幸福感低等问题，而其中重要的原因之一就是过多的人口数量正挑战这个城市的最大负荷量。http://t.cn/zjwWuJk
450,1,韩国总统李明博就7岁女童遭性侵向国民道歉。【转】
154,1,【泰国签证最新动态 困难或将成为现实[衰]】明年1月2日起，泰国将严格区分赴泰旅游团体签证和个人签证，个人签证要求申请者自己递交材料，自由行必须使用个人签证出境。新政策出来之后，可能会使一些原本准备自由行的游客为规避麻烦的签证手续而改选跟团游，赴泰旅游者或将感觉手续更费钱费时费力[囧]
441,1,洋毒食——国家质检总局进口不合格食品黑榜：挪威的大西洋鲑鱼，检出副溶血性弧菌，被销毁。韩国进口的乐天牌巧克力粒，德国进口的欧尚85%黑巧克力，均发现铜超标，被退货或销毁。丹麦奇新蓝罐有限公司生产的曲奇(饼干)，大肠菌群超标，被销毁。（北京晚报）
54,0,【曾国藩遗嘱四句话 后代没出一个败家子】曾氏家族打破了“盛不过三代”魔咒，据称是曾国藩的“四条遗嘱”起到了决定性作用：一是慎独则心里平静。二是主敬则身体强健。三是追求仁爱则人高兴。四是参加劳动则鬼神也敬重。
1444,1,文章的道歉信和高晓松酒驾的道歉信一模一样啊，出自一人之手还是抄袭人家高晓松的，可见态度有多么不诚恳了！哎！#周一见#
300,1,"马航旧广告， 在推特上传疯了。广告语： Wherever you go, no one will ever know（译：不管你去向何处，都没有人会知道）这公司还真是说到做到！"
1605,0,【北京5名大学生出租房内身亡，疑似煤气中毒】4日上午8时30分许，在北京朝阳区樱花东街一居民出租房内，5名哈尔滨医科大学（大庆）大学生被发现疑似煤气中毒，不幸身亡，5人生前在北京中日友好医院实习。有不少低收入人群使用煤气采暖，保障通风切不可掉以轻心。（记者万一　卢国强）
74,1,【 我大国天朝的城管 】 河南一妇女为了给孩子凑钱治病，上街卖盗版CD，被城管发现后逃跑，CD被缴后跳入冰冷的水中躲避，城管还不肯放过她，要她把非法所得也交出来，她百般向城管哀求，这是孩子的救命钱，城管丝毫不为所动，不交钱就不许上岸，致使妇女在水中冻了两个小时，最后昏死过去。[怒]
735,0,#奥运每日有奖竞猜#【男篮首战 有奖竞猜】今日开题啦——男篮小组赛，中国对西班牙的结果：1.中国胜 2.中国输1-10分 3.中国输11-20分 4.中国输21-30分 5.中国输30分以上。关注@华西都市报 转发本微博，附答案编号及内容，每人限答一次，截止今日17：00。我们将抽取2位正确网友，赠送名牌运动衫！
1118,1,【哈尔滨垮塌大桥施工方称填充泡沫系正常做法】在垮塌的桥梁体内，充塞着鹅卵石、木棍和编织袋的混合物，钢筋是铺在箱梁内的，并没有看到捆扎的情形。对此，该桥施工方福建交建集团称，所谓“编织袋”应指无纺布，在桥梁伸缩缝中用无纺布和泡沫等是正常做法，对“建筑质量有信心”。艹，一起说脏话吧！
1192,1,【喝易拉罐一定要吸管】一妇女喝了罐饮料，被送进医院，离开了世界。验尸死于於细螺旋体病，追踪她喝的饮料，是直接用罐对嘴饮用。实验证明罐头受到鼠尿感染细螺旋体病毒。鼠尿含有毒性和致命物质。因罐头运输过程没有清洗的。研究显示罐上面的毒菌很多，请转给你关心的朋友。
2534,1,微信在传，越南通讯社报道，发现失踪的MH370，漂浮海上，大部分机身没入水中，乘客集中于尾部舱位，部分乘客依靠救生设备散落在周围一公里范围水面等待救援。如果是这样，飞机迫降海面，伤亡率将大大降低。盼望奇迹！！！
3313,0,今天整理旧书旧报，发现了小学时代的回忆~真是老泪纵横啊哈哈哈！！这俩东西，有人买过吗...?
1057,0,"大家都説我變漂亮了，謝謝牙醫。[可爱]牙齒咬合不正的人我完全支持你們立馬去帶牙套，你人生絕對會不一樣。不要怕痛""痛一陣子，美一輩子"""
3382,1,爱尔兰瑞尔航空公司今早公布的新LOGO……「via白丁2008」（关注@GayHostel）
343,0,【米兰大佬:欧冠小组赛后离开】http://t.cn/8k40paJ 芭芭拉与加利亚尼的“宫斗大戏”终于要画上句号了，胜出的人是芭芭拉。北京时间11月29日晚，《米兰体育报》和《全市场》等多家意大利媒体都作出报道，加利亚尼亲口宣布将会在欧冠小组赛最后一场与阿贾克斯的比赛后，正式离开红黑军团
2985,1,【调查地沟油的记者李翔，死了】 身中10余刀，惨死。他为全国不能吃特供的十多亿草泥马的食品安全努力过。他付出了年轻的生命。草泥马们，请动一下鼠标，转发，表达一下谢意。不过分吧？恭请转发！！！
1655,0,【给技术宅跪了！网友自制供暖系统花费不到4000元】杭州的佟先生在淘宝上先买来暖气片、电锅炉、循环水泵、阀门等各种工具，耗时3天，把散热片通过管道和电锅炉连接，完成了一套供热系统，总费用不到4000元。“室内能到16到20度左右，每月增加的电费在两三百元左右。”http://t.cn/zj1J3eM 新华
1958,1,已经证实保罗没死！图慎点。
1242,0,【海贼王作者急病，最新漫画休载】据Record Japan网站报道，《海贼王》作者尾田荣一郎突发疾病，漫画暂停连载。《海贼王》已经持续了15年的连载，现在突然因为疾病休载，让粉丝们也感觉非常震惊。网上一片关切之声，难以掩饰大家对《海贼王》的喜爱之情。据说尾田荣一郎是因过度劳累突发的疾病。新娱
3136,1,【新闻联播：火车盒饭只要5元！ 你吃过吗？】《新闻联播》记者亲身登上火车，报道火车上的东西一点都不贵。网友吐槽：“央视记者是怎么买到火车票的？”、“能不能别逗了？5元太能扯了！最便宜矿泉水都要五块以上，还能买盒饭？播新闻联播的人难道没做过火车？”
1583,0,【六一儿童节】属于80后永恒的回忆！！ 80后经典怀旧动画片全集：http://t.cn/hsy05 请用一句话证明你的童年不是喜羊羊！！[心] 
752,0,【TSKS韩剧社&金秀贤吧&金秀贤中国首站&来自星星的你吧&刘仁娜吧&朴海镇吧 联合发布】◇SBS水木剧◇#来自星星的你#[主翻:@一颗烂笔头 演员:金秀贤 全智贤 朴海镇 刘仁娜][HDTV-MKV 韩语中字 特辑 已发布][种子戳戳戳：http://t.cn/8FKTE0Y]欧尼爱的松木，就一起送大家啦～～～[心][抱抱]720P高清的哦～
1989,0, @非天夜翔 祝贺＜武将观察日记＞即将出版，祝大麦大麦大麦！另，我真心觉得，吕2货的这些信把我虐得受不了啊！
1781,1,【人间惨剧】不能忘却的历史：1984年12月3日晨，印度博帕尔市的联合碳化物有限公司一P~X项目发生氰化物泄漏，覆盖方圆60公里。2.5万人直接致死，55万人间接致死，另外有20多万人永久残废的人间惨剧。现在，当地居民仍然要忍受癌症及胎儿畸形的折磨。@宁波发布
681,1,1988年3月13日，四川石棉县发生森林火灾，石棉中学组织学生扑火，因火势太大，县里用车将学生强制送下山，学生周伟等三人强行下车执意不走，后火势蔓延，周伟和王海匆匆逃离，而另一学生高度近视，惶恐中在火海中罹难。县宣传部长原为罹难学生父亲部下，后将事迹通报中央，“赖宁的故事”广为传播。
3374,1,波士顿爆炸案，现在是随便美国人说死伤了多少。事实告诉全球人民，一个声光烟的表演后，各演员向舞台中心跑去，包围现场，驱离围观者。然后一个个本来就是残疾人的演员被抬上轮椅，抱着假肢，图上鸡鸭血后出来摆拍。小布什开始笑话奥巴马，下手虽比911留情了，但却是更假了。全怪执行导演找错了演员。
1308,0,【广州网民污蔑狼牙山五壮士，被行政拘留】“狼牙山五壮士实际上是几个土八路，当年逃到狼牙山一带后，用手中的枪欺压当地村民，致当地村民不满。后来村民将5人行踪告诉日军，又引导5人向绝路方向逃跑”。近日，广州一网友在微博上散播此谣言，被警方依法行政拘留。http://t.cn/z8bUmAe @21世纪网
1915,1,【股市火了】
3364,1,【张国荣真实死因将公布】今年4月1日是张国荣逝世十周年，其生前好友兼经纪人陈淑芬将宣布一个保守了十年的秘密。据媒体报道，张国荣系他杀，当时警方在香港旺角将犯罪嫌疑人周峰国抓获。香港警方称，当时抓捕活动只用了两个小时，且掌握了大量证据证明张国荣是周峰国所杀。
3014,1,#社会热点#【2013年1月1交通新规】1、闯红灯，记6分。2、酒驾，5年内不得再考取驾照。3、不系安全带，记3分。4、副驾不系安全带，记1分。5、行驶途中拨打手机，记3分。6、行驶途中抽烟，记1分。7、有意遮挡号牌，记12分，顶额处罚。8、超速驾驶，记6分~~~~~
1274,0,【实拍辽宁抚顺执法人员暴力执法引发群殴】网曝5月30日上午，抚顺市10多名综合执法男子群殴一名65岁的老人，有市民对现场进行拍摄，被打断手指。5日，抚顺经济开发区综合执法局承认与拍摄者冲突，与其发生撕扯，但否认殴打老人。视频为事发地居民拍摄的执法人员执法时引发冲突。http://t.cn/zHOZP14
2673,1,轰动全国的安徽籍民工秦某在上海市长宁区散落17600元遭哄抢，经查实，警方在秦某取款银行处查实，秦某仅取款7600元，而非秦某谎称的17600元，而截至今日秦某的7600元已全返还，所以剩下的一万元永不可能出现了。秦某的演技，使得上海声誉受损，另市民仅去电视台为其捐款就达三万余元。转。@非常女八路
297,0,【港媒:刘翔接到退役最后通牒 功利锦标主义害了他】大公网评论：赞人陷人皆是口，推人扶人皆是手。刘翔领教了国人翻覆之间造神的狂热和毁人的恶毒。现在他接到了最后通牒，或者跑进13秒20，或者退役，一个跌出一流的刘翔，是没有任何利用价值和吸金意义的。我只想说无论如何刘翔都是模子！[good]by网络
1067,1,据传，发改委批复了七万亿！
2609,1,周克华已经在歌乐山脚下被捕，自杀未成，大腿被特警打伤。被捕时候藏在一溪水的水草深处，一年经的特警发现了其中的一只脚掌，顺而激战捕获。http://t.cn/zWldazc
2982,0,"#东方神起六辑大发# 【10/06 当日销量】10/6日销量7192，十二日累计94842。随着神起的回归活动开始多起来了[太开心]我们允浩和妹纸们要照顾好自己的身体,happy的同时要记得继续支持我们的小六[带感]【10/07 销量】将在此微博下实时播报敬请关注。订六辑戳http://t.cn/ao8VOO"
739,0,一花盛开一世界，一生相思为一人。
3059,1,继FBI 承认罗斯威尔事件 是飞碟坠毁后，罗斯威尔飞碟坠毁事件幸存外星人视频又被曝光 http://t.cn/hgo3Ce
1722,0,郑念：再三邀请作坦率的建设性的批评，然后又严厉地处罚提出批评的人，毛泽东如此奸诈的行为完全吓坏了中国的知识分子，以至于中国的文化生活处于停滞的状态。（郑念《生死在上海》节选）
3244,1,真实案件！酒吧一帅气男子当场被阉割 案发现场莉莉玛莲酒吧，一白色保时捷上下来四人进入该酒吧将一男子当场阉割，场面极为惨烈及壮观，鸡毁人亡。睡了不该睡的女人。坑爹呀~大家引以为戒吧~別亂睡別人的女人 是要付出代价的〜
258,0,前段时间大家讨论过内地大学的洗手间为何没有卫生纸的问题，不少的理由是怕被人拿走，其实动动脑筋就可以解决，这个是香港大埔火车站内洗手间的纸巾盒，上了锁了。所以，怕拿走不是理由。
565,0,6月19日父亲节，在这专属于爸爸的欢乐节日里，舒展疲惫的臂膀，卸下肩上的重担，放缓职场上匆忙的脚步，去广州塔尽情享受一段悠闲活力之旅吧！要求：关注@广州塔官方 @新浪广东有着数 评论转发本条微薄时@三位好友+一句对父亲的祝福，既有机会加入父亲节登塔队伍。这次我们登上广州塔最高层看夜景哦！
418,0,我曾经很长时间淘宝成瘾，当被关注和别人有链接时对淘宝会兴趣大减，心关闭时成瘾最严重。很长一段时间确实无法自主自律，好像让别人掌握了自己的命运。仅仅观察到这些就好，莫苛求成为自律的人。觉察并深深的允许，一切都会过去，心无数次破碎，只为更好地打开。
2423,1,【毁三观啊！！！[抓狂]】独居父亲因儿子长得像妻子 难抑冲动对其施暴[吃惊][抓狂]
1023,0,武艺网宣组开始招新啦。现阶段开始招管理若干。只要你满足以下条件1爱武艺2每天在线4小时以上3有信心和网宣组同甘苦（有管理经验者优先）你想认识一群志同道和的朋友吗你想让更多人知道并陪你一起爱武艺吗你想在网宣获得更多奖品吗心动不如行动快快加入我们吧～有意者请私信本微博…PS：另招美文美图
3237,0,罗曼·罗兰说过，大多数人在20岁或者30岁时就死了：一过这个年龄，他们只变了自己的影子；以后的生命不过是用来模仿自己，一天天地重复，而且重复的方式越来越机械，越来越脱腔走板。（ 《约翰·克里斯托夫》）
2021,0,有人好奇黑人妹子是如何化妆的么？LZ带图详解 [哈哈] 太搞笑了，一直以为他们是不化妆的～～（转）
1975,1,在德国，汽车、公司都无需年检。我问德国人：汽车不年检，坏了怎么办？答：自己修车。问：企业不年检，公司倒闭如潮怎么办？德国人答：你看德国是这样的吗？我问：德国政府为何不强制年检？德国人反问：谁给了政府这个权力？如果政府对年检感兴趣，说明这种事对它有好处。
851,1,据传移动9月1日开始对微信微博进行收费：1、包月10元/月；2、按收发条数收费，100条以下免费，100-600条5元，600-1200条10元，超过1200条每条0.02元。联通暂不针对微信等产品收费，将对新入网用户赠送为期一年免费流量，每个送500M的国内流量，超出部分按0.0003元/KB收费。又传电信正在积极接洽微信。
1222,0,根据网友对微博依赖程度，网上把“微博控”分为九级：一级达人，只围观不说话；二级达人，遇到兴奋点才回复转发；三级达人，休息时间全部占用；四级达人，工作时间继续织；五级达人，双休日不休息；六级达人，熬夜找热点；七级达人，半夜玩命刷粉；八级达人，织得都住院了；九级达人，没有sex生活[衰]
146,0,"【奥运会再曝奇闻 开幕式中途日本被带离现场】伦敦开幕式各国代表团入场式上，按照惯例各国代表团绕场一周后会被引导到场地中央。但当天，日本代表团亮相后，却被直接引导出了体育场。各国运动员都站在场地中央集合时，日本代表已经不见了！对此日本奥委会称""这是奥组委的失误""。央视网杨翰宁编辑报道"
1928,0,120917音乐风云榜新人盛典 #鹿晗luhan# 【禁二改】【禁商用】【转载注明villa】只要你一个眼神肯定，我的爱就有意义。一路陪伴，总有开心，也有难过，但我相信，只要坚持下去，一切都会有意义。相信你，相信自己。谁让我这么喜欢你~马上要开始新的一周啦，九月的最后一周，有很多期待的十月，晚安~
2217,0,"【谈谈养老金】人社部已经三番五次地暗示将延迟领取养老金的年龄到65或68岁，我不同意这么做。从会计上讲，这些养老金主要是企业为职工缴纳的""五险一金""形成的，是员工针对国家形成的""递延养老金资产""，人的寿命有限，延迟领取，相当于少领了几年。这有点说不过去，可能不少人会等不到领取的那一天了。"
4,0,我不羡慕也不嫉妒那些天天粘在一起的小情侣，我没有时间没有兴趣也没有精力跨过两地时差去生气吵架发脾气闹分手。我能做的只是在起风的时候裹紧外套，不停地读书，参加各种活动，背很多单词，早睡早起，好好减肥。我希望不论在未来的哪一天，我都能有资格，以最不容置疑的姿态站在你身边。「转」  
711,1,请好心人帮忙转发，特别是@黄海冰 @胡歌 @文章同學 @赵薇，麻烦尽你们一份微力量吧，谢谢！
173,0,一张有海清和黄海波亲笔签名的彩票，和一张中了3000元的彩票，你更想要哪个？一位悲催男让海清和黄海波在自己的彩票上签名，没想到这张彩票中了3000元！福彩说：票面有污损不能兑奖！这位悲催哥惨呼：“我们家三口子还等我拿这3000块吃水煮鱼呐……”http://t.cn/hBbz9c
184,0,哈哈哈哈哈哈哈哈哈哈哈哈哈哈@special特特 咱俩来一个呗！！！哈哈哈哈哈哈哈哈哈哈哈哈哈哈【视频：东北话版《星星》（4） 全智贤 金秀贤】 （分享自 @优酷网） http://t.cn/8F3aLCr 
1110,0,终场演出结束，照常来到后台的GD与之前每每都会开心的说着【辛苦了...！】有所不同，他不说话，只是与staff们击掌拍手...应该不是我看错想太多，因为我分明看到是倔强要强的小狮子是真的在强忍住泪水啊！合照后，脸裹着大毛巾说着：结束了，G-DRAGON WORLD TOUR ONE OF THE KIND 结束了！#泪崩感#
996,0,【什么颜色在一起搭配最好看】1红色配白色、黑色、蓝灰色、米色、灰色。2咖啡色配米色、鹅黄、砖红、蓝绿色、黑色。 3黄色配紫色、蓝色、白色、咖啡色、黑色。4绿色配白色、米色、黑色、暗紫色、灰褐色、灰棕色。 5蓝色配白色、粉蓝色、酱红色、金色、银色、橄榄绿、橙色、黄色。[心]关注@OL穿衣课堂
2290,1,2月30号，我们在休假，蒙牛却在为我们生产良心奶。。。via@钢铁侠Z
3318,1,在逃恐怖分子通缉令[怒]（东南快报）
1552,0,#颁奖季# 美国《时代》杂志2013【年度十佳】：1.《地心引力》、2.《绝美之城》、3.《美国骗局》、4.《她》、5.《一代宗师》、6.《速度与激情6》、7.《冰雪大冒险》、8.《杀戮演绎》、9.《为奴十二载》、10.《霍比特人2：史矛革荒漠》，详见[豆瓣奥斯卡]→http://t.cn/8kt8uNt
286,0,我头一次知道微博上居然有这么多傻逼不知道ODA——TM那不是无偿援助那是要还的好吗，日本的战争赔款一直都赖着不拿，然后所谓ODA根本就只给了几年就不给了，还说什么中国政府只字不提，TM根本就不给钱还提个毛，那个什么林萍早就被扒皮是个男精日了——难怪那么多公知呢，国人真是太傻逼太好骗了
522,1,有没有帮刘翔说话的啊？来解释一下这张照片啊！
3375,0,【芒果聚光灯 • 天声一队】@天声一队 第二场直播进行时！今晚的爱心大来宾@谢娜 来咯，热衷于公益事业的她可是不遗余力哦，刚结束话剧表演就赶过来支持@天声一队 。她会带来什么表演呢？
742,1,台湾立法委上大陆微博，没勇气再看下去了......@袁裕来律师@元芳视角@焦点联播@隆裕太后
1275,0,【#我是歌手#in乐视】@GEM邓紫棋 她像天堂里不甘寂寞的淘气精灵，跃入凡间化身百老汇红磨坊里婀娜多姿的性感尤物，流连歌舞升平。眼神流转间已俘获所有看客的心，她要用她的热情融化每一个寒冬的夜。她的甜美虽亲近却无法捕捉，她的气场强大却不伤人。风情万种，所向披靡！http://t.cn/8FBGpZI
